작업반,작업반.1,세척반,오퍼레이터,Unnamed: 4,Unnamed: 5,Unnamed: 6,박영례 반장님,Unnamed: 8,Unnamed: 9,Unnamed: 10,2023-09-26 00:00:00,Unnamed: 12,오퍼레이터 서명,Unnamed: 14,"정
규",체크리스트,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
품목번호,업체,품목,과수,원산지,포장형태,상품명,입수,단량,"재고/예비
생산수량",수량,중량,바코드,상품명,작업인원,작업시간(분),품종,원산지,바코드,진열기한,,,
,도매,일반 고구마(저장),상,국내산,벌크,하루까 상 벌크 10kg(정품),1,10,"""둥근 상""만 작업
""긴 상""은 유통에 사용",40,400,"1. 토마루박스
2. 나무파레트
3. 중량기준 100 ~ 230g",출고지 : 동부청과,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 비2 - P,36,20,,,0,*정품 / 택배용 비품 구분,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 비2 - P,36,20,,,0,*정품 / 택배용 비품 구분,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,"하루까 특 - P
  상 - P",36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,호박 상 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대2 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 비2 - P,36,20,,,0,*유통에 사용 가능한 비품 / 도매용 비품 / 중비품 구분 필요,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대2 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 비2 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 비2 - P,36,20,,,0,*유통에 사용가능한 비품 / 도매용 비품 / 중비품 구분 필요,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대2 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,하루까 상 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 중3 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 중3 - P,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 비1 - P,36,20,,,0,"모양 구분이 아닌 지름으로만 구분 :  얇은 비1, 굵은 비1",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,▶상품 내 품종 혼입되지 않도록 주의!(카라유타카 ≠ 진율미),,,,,,,,,,,,,,,,,,,,,
,청원으로 특(230~300g) 5PT(36CT씩 적재) 작업 후 본 중량 범위로 복귀,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 무등급 - 4P,30,20,,,0,,,,,,,,,17.0,,0.0
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 상 - P,30,20,,,0,,,,,,,,,17.0,,0.0
ㅇ,세척,일반 고구마(하계),대품,국내산,세척,하계 대 - P,30,20,,,0,,,,,,,,,17.0,,0.0
ㅇ,세척,일반 고구마(하계),비품,국내산,세척,하계 중3 - P,30,20,,,0,,,,,,,,,17.0,,0.0
ㅇ,세척,일반 고구마(하계),비품,국내산,세척,하계 비2 - P,30,20,,,0,,,,,,,,,17.0,,0.0
ㅇ,세척,일반 고구마(하계),비품,국내산,세척,하계 비1 - P,30,20,,,0,,,,,,,,,17.0,,0.0
ㅇ,세척,호박 고구마(하계),비품,국내산,세척,호박 중2 - P,30,20,,,0,,,,,,,,,17.0,,0.0
ㅇ,세척,호박 고구마(하계),비품,국내산,세척,호박 가공2 - P,30,20,,,0,,,,,,,,,17.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 상 - p,30,20,,,0,,,,,,,,,,15.0,0.0
ㅇ,세척,일반 고구마(하계),비품,국내산,세척,하계 중2 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,"하루까 상 - p
특 - p  ",36,20,,,0,,,,,,,,,,,150.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 상 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 무등급 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(하계),정품,국내산,세척,호박 상 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(하계),정품,국내산,세척,하계 무등급 - p,36,20,,,0,,,,,,,,,,,
,고구마 도매 작업,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,하루까 상 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),대품,국내산,세척,하루까 대1 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대1 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대2 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 중 - p,36,20,,,0,,,,,,,,,,,
,하루까 상 세척 시 81~100g(잔상) 따로 구분해주세요,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대1 - 3p,36,20,도매용,3,2160,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 가공1 - 1p,36,20,"350g 이상,이하 나누기",1,720,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 가공2 - 3p,36,20,봉지 / 벌크 비품 구분,3,2160,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 비2 - 3p,36,20,봉지 / 벌크 비품 구분,3,2160,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),대품,국내산,세척,하루까 대1 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),대품,국내산,세척,하루까 대2 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 대2 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),대품,국내산,세척,하루까 미선별 대 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 중2 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,호박 상 - p,36,20,잔상 구분,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,하루까 상 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 중2 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,하루까 미선별 특 - P,36,20,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 가공1 - p,36,20,도매용,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,호박 왕대 - p,36,20,말랭이용,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,하루까 미선별 특 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 중2 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,호박 중3 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),비품,국내산,세척,하루까 중2 - p,36,20,,,0,,,,,,,,,,,
ㅇ,세척,일반 고구마(저장),정품,국내산,세척,,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),정품,국내산,세척,,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),비품,국내산,세척,,36,20,,,0,,,,,,,,,,,
ㅇ,세척,호박 고구마(저장),대품,국내산,세척,,36,20,,,0,,,,,,,,,,,
